exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	ItemX	x_is_are	x_verb	ItemY	y_is_are	y_verb	actor	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	presentationMode	hide_question
exp2	100	Terrorist1	1	0	0	680	0	k	W	300	0	supermarket	practice	tiramisu	is a	kill	jello	is a	destroy	personally	X>Y	d	Yes	1522	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	1	0	680	0	k	W	300	0	party	practice	cupcakes	is a	destroy	tiramisu	is a	kill	personally	X>Y	d	Yes	3170	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	2	0	680	0	k	W	300	0	grocery shopping	practice	ice-cream	is a	kill	chocolate cake	is	destroy	personally	X>Y	d	Yes	2904	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	3	0	680	0	k	W	300	0	mall shopping	practice	fruit	is a	kill	tiramisu	is a	kill	personally	X>Y	k	No	1706	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	0	1	680	0	k	W	300	0	Space ship	personal	a smartphone	is	destroy	a homeless adult	is	kill	personally	X>Y	k	No	1894	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	1	1	680	0	k	W	300	0	Marine	personal	a rapist	is	kill	a soldier	is	kill	personally	X>Y	k	No	2724	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	2	1	680	0	k	W	300	0	Lumberjack	personal	a convict	is	kill	a mentor	is	kill	personally	X>Y	k	No	2774	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	3	1	680	0	k	W	300	0	Missile	personal	an orphan	is	kill	a soldier	is	kill	personally	X>Y	d	Yes	12895	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	4	1	680	0	k	W	300	0	Lumberjack	personal	an adult	is	kill	a thief	is	kill	personally	X>Y	k	No	12624	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	5	1	680	0	k	W	300	0	Tsunami	personal	a rapist	is	kill	a soldier	is	kill	personally	X>Y	k	No	8174	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	6	1	680	0	k	W	300	0	Safari	personal	a rapist	is	kill	a convict	is	kill	personally	X>Y	k	No	2921	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	7	1	680	0	k	W	300	0	Space ship	personal	an assassin	is	kill	an Olympian	is	kill	personally	X>Y	k	No	2971	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	8	1	680	0	k	W	300	0	Malfunctioning Crane	personal	an Olympian	is	kill	a congressman	is	kill	personally	X>Y	k	No	3837	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	9	1	680	0	k	W	300	0	Tsunami	personal	a convict	is	kill	a police officer	is	kill	personally	X>Y	k	No	2717	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	10	1	680	0	k	W	300	0	Missile	personal	an adult	is	kill	an elderly person	is	kill	personally	X>Y	d	Yes	4069	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	11	1	680	0	k	W	300	0	Malfunctioning Crane	personal	a nun	is	kill	an Olympian	is	kill	personally	X>Y	k	No	3096	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	12	1	680	0	k	W	300	0	Riverbank	personal	a pedophile	is	kill	an astronaut	is	kill	personally	X>Y	k	No	3067	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	13	1	680	0	k	W	300	0	Space ship	personal	a convict	is	kill	a police officer	is	kill	personally	X>Y	k	No	2473	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	14	1	680	0	k	W	300	0	Safari	personal	a rapist	is	kill	a college student	is	kill	personally	X>Y	k	No	2533	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	15	1	680	0	k	W	300	0	Nuclear Plant	personal	an addict	is	kill	a police officer	is	kill	personally	X>Y	k	No	2575	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	16	1	680	0	k	W	300	0	Tsunami	personal	a life-saving antidote	is	destroy	a rapist	is	kill	personally	X>Y	d	Yes	4208	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	17	1	680	0	k	W	300	0	Lumberjack	personal	an adult with a deadly contagious disease	is	kill	a billionaire	is	kill	personally	X>Y	k	No	2963	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	18	1	680	0	k	W	300	0	Malfunctioning Crane	personal	a soldier	is	kill	an elderly person	is	kill	personally	X>Y	d	Yes	3504	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	19	1	680	0	k	W	300	0	Malfunctioning Crane	personal	a gang member	is	kill	a mentor	is	kill	personally	X>Y	k	No	1925	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	20	1	680	0	k	W	300	0	Space ship	personal	a smartphone	is	destroy	a cockroach	is	kill	personally	X>Y	d	Yes	4032	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	21	1	680	0	k	W	300	0	Space Cargo	personal	an Olympian	is	kill	a terrorist	is	kill	personally	X>Y	d	Yes	2116	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	22	1	680	0	k	W	300	0	Marine	personal	a soldier	is	kill	a rabid possum	is	kill	personally	X>Y	k	No	1868	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	23	1	680	0	k	W	300	0	Missile	personal	a smartphone	is	destroy	a billionaire	is	kill	personally	X>Y	k	No	2563	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	24	1	680	0	k	W	300	0	Nuclear Plant	personal	a congressman	is	kill	an adult	is	kill	personally	X>Y	k	No	2217	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	25	1	680	0	k	W	300	0	Missile	personal	a rabid possum	is	kill	a terrorist	is	kill	personally	X>Y	k	No	5175	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	26	1	680	0	k	W	300	0	Safari	personal	a rabid possum	is	kill	a smartphone	is	destroy	personally	X>Y	k	No	3391	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	27	1	680	0	k	W	300	0	Nuclear Plant	personal	a rapist	is	kill	a mentor	is	kill	personally	X>Y	k	No	3904	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	28	1	680	0	k	W	300	0	Marine	personal	a homeless adult	is	kill	an astronaut	is	kill	personally	X>Y	k	No	2243	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	29	1	680	0	k	W	300	0	Marine	personal	a thief	is	kill	a college student	is	kill	personally	X>Y	k	No	3082	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	30	1	680	0	k	W	300	0	Space Cargo	personal	a pedophile	is	kill	a judge	is	kill	personally	X>Y	k	No	2908	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	31	1	680	0	k	W	300	0	Riverbank	personal	a smartphone	is	destroy	a cockroach	is	kill	personally	X>Y	d	Yes	2684	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	32	1	680	0	k	W	300	0	Space Cargo	personal	a pedophile	is	kill	a police officer	is	kill	personally	X>Y	k	No	1384	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	33	1	680	0	k	W	300	0	Space Cargo	personal	a terrorist	is	kill	a nun	is	kill	personally	X>Y	k	No	2631	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	34	1	680	0	k	W	300	0	Safari	personal	a nun	is	kill	a billionaire	is	kill	personally	X>Y	d	Yes	2324	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	35	1	680	0	k	W	300	0	Lumberjack	personal	a smartphone	is	destroy	a thief	is	kill	personally	X>Y	k	No	2408	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	36	1	680	0	k	W	300	0	Riverbank	personal	a cockroach	is	kill	a billionaire	is	kill	personally	X>Y	k	No	2506	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	37	1	680	0	k	W	300	0	Nuclear Plant	personal	an elderly person	is	kill	an orphan	is	kill	personally	X>Y	k	No	2378	0	0	0	0	N/A	-1	mask	visible
exp2	100	Terrorist1	1	38	1	680	0	k	W	300	0	Riverbank	personal	a police officer	is	kill	a smartphone	is	destroy	personally	X>Y	d	Yes	4662	0	0	0	0	N/A	-1	mask	visible
